SerialNumber,TimeStamp,Test_Operator,Command 1 Result,Command 2 Result,Command 3 Result,Command 4 Result
123456,11/5/2019 8:52:20 AM,TEST,PASS,PASS,PASS,PASS
159564,11/5/2019 8:58:49 AM,TEST,PASS,PASS,PASS,PASS
SA19H035,11/5/2019 8:59:43 AM,TEST,PASS,PASS,PASS,PASS
159654,11/5/2019 9:04:49 AM,TEST,PASS,PASS,PASS,PASS
68000-49,11/5/2019 9:18:38 AM,TEST,PASS,PASS,PASS,PASS
123456,11/5/2019 11:37:39 AM,TEST,PASS,PASS,PASS,PASS
